stop_id,stop_name,stop_lat,stop_lon
35A_2_S15,STOP_35A_2_S15,21.012848,105.801899
35A_2_S16,STOP_35A_2_S16,21.018450,105.807258
35A_2_S17,STOP_35A_2_S17,21.019433,105.809453
35A_2_S18,STOP_35A_2_S18,21.017483,105.813406
35A_2_S19,STOP_35A_2_S19,21.016050,105.815891
35A_2_S20,STOP_35A_2_S20,21.014766,105.817625
35A_2_S21,STOP_35A_2_S21,21.010233,105.822824
35A_2_S22,STOP_35A_2_S22,21.008983,105.825458
35A_2_S23,STOP_35A_2_S23,21.007162,105.829325
35A_2_S24,STOP_35A_2_S24,21.007933,105.832858
35A_2_S25,STOP_35A_2_S25,21.009346,105.834632
41_1_S11,STOP_41_1_S11,21.020243,105.830360
41_1_S12,STOP_41_1_S12,21.019537,105.833231
41_2_S11,STOP_41_2_S11,21.019377,105.837823
41_2_S12,STOP_41_2_S12,21.019613,105.833925
41_2_S13,STOP_41_2_S13,21.020210,105.830570
44_1_S10,STOP_44_1_S10,21.007735,105.828567
44_1_S11,STOP_44_1_S11,21.007383,105.822975
44_1_S8,STOP_44_1_S8,21.009983,105.835274
44_1_S9,STOP_44_1_S9,21.008100,105.833008
44_2_S10,STOP_44_2_S10,21.004333,105.806342
44_2_S16,STOP_44_2_S16,21.007867,105.823491
44_2_S17,STOP_44_2_S17,21.008983,105.825458
44_2_S18,STOP_44_2_S18,21.007162,105.829325
44_2_S19,STOP_44_2_S19,21.007933,105.832858
44_2_S20,STOP_44_2_S20,21.009346,105.834632
44_2_S9,STOP_44_2_S9,21.003150,105.801292
49_1_S10,STOP_49_1_S10,21.019377,105.837823
49_1_S11,STOP_49_1_S11,21.019613,105.833925
49_1_S12,STOP_49_1_S12,21.020572,105.826653
49_2_S12,STOP_49_2_S12,21.020066,105.816291
49_2_S13,STOP_49_2_S13,21.021050,105.818008
49_2_S15,STOP_49_2_S15,21.020267,105.826501
49_2_S16,STOP_49_2_S16,21.019537,105.833231
50_1_S13,STOP_50_1_S13,21.017816,105.823691
50_1_S14,STOP_50_1_S14,21.015366,105.819591
50_1_S15,STOP_50_1_S15,21.016316,105.815641
50_1_S16,STOP_50_1_S16,21.013533,105.812525
50_1_S17,STOP_50_1_S17,21.013357,105.807867
50_1_S18,STOP_50_1_S18,21.012667,105.801208
50_2_S10,STOP_50_2_S10,21.012848,105.801899
50_2_S11,STOP_50_2_S11,21.014300,105.806208
50_2_S12,STOP_50_2_S12,21.012650,105.808425
50_2_S13,STOP_50_2_S13,21.014483,105.813425
50_2_S14,STOP_50_2_S14,21.016050,105.815891
50_2_S15,STOP_50_2_S15,21.014766,105.817625
50_2_S16,STOP_50_2_S16,21.016066,105.820724
50_2_S17,STOP_50_2_S17,21.017766,105.823958
50_2_S18,STOP_50_2_S18,21.019683,105.824974
51_1_S11,STOP_51_1_S11,21.009983,105.835274
51_1_S12,STOP_51_1_S12,21.008100,105.833008
51_1_S13,STOP_51_1_S13,21.007735,105.828567
51_1_S14,STOP_51_1_S14,21.007383,105.822975
51_1_S15,STOP_51_1_S15,21.004217,105.818458
51_1_S16,STOP_51_1_S16,21.006133,105.816491
51_1_S17,STOP_51_1_S17,21.010100,105.812641
51_1_S18,STOP_51_1_S18,21.013357,105.807867
51_1_S19,STOP_51_1_S19,21.014800,105.801608
51_2_S10,STOP_51_2_S10,21.012650,105.808425
51_2_S11,STOP_51_2_S11,21.010350,105.811808
51_2_S12,STOP_51_2_S12,21.008167,105.814825
51_2_S13,STOP_51_2_S13,21.003883,105.818391
51_2_S14,STOP_51_2_S14,21.007867,105.823491
51_2_S15,STOP_51_2_S15,21.008983,105.825458
51_2_S16,STOP_51_2_S16,21.007162,105.829325
51_2_S17,STOP_51_2_S17,21.007933,105.832858
51_2_S18,STOP_51_2_S18,21.009346,105.834632
51_2_S7,STOP_51_2_S7,21.015200,105.801142
51_2_S8,STOP_51_2_S8,21.012848,105.801899
51_2_S9,STOP_51_2_S9,21.014300,105.806208
60A_1_S20,STOP_60A_1_S20,21.003150,105.801292
60A_1_S21,STOP_60A_1_S21,21.007667,105.802592
60A_2_S22,STOP_60A_2_S22,21.007517,105.802325
60A_2_S23,STOP_60A_2_S23,21.003183,105.800808
60B_1_S15,STOP_60B_1_S15,21.003150,105.801292
60B_1_S16,STOP_60B_1_S16,21.007667,105.802592
60B_2_S20,STOP_60B_2_S20,21.007517,105.802325
60B_2_S21,STOP_60B_2_S21,21.003183,105.800808
84_1_S15,STOP_84_1_S15,21.015200,105.801142
84_1_S16,STOP_84_1_S16,21.012848,105.801899
84_1_S17,STOP_84_1_S17,21.009633,105.804425
84_1_S18,STOP_84_1_S18,21.006217,105.805291
84_1_S19,STOP_84_1_S19,21.006500,105.805975
84_1_S20,STOP_84_1_S20,21.007794,105.807918
84_1_S21,STOP_84_1_S21,21.010350,105.811808
84_1_S22,STOP_84_1_S22,21.010867,105.816075
84_1_S23,STOP_84_1_S23,21.010233,105.822824
84_1_S24,STOP_84_1_S24,21.007383,105.822975
84_2_S13,STOP_84_2_S13,21.003067,105.821708
84_2_S14,STOP_84_2_S14,21.007867,105.823491
84_2_S15,STOP_84_2_S15,21.010083,105.823215
84_2_S16,STOP_84_2_S16,21.013350,105.819841
84_2_S17,STOP_84_2_S17,21.011800,105.816508
