shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
1,48591,47.248663,-1.517214
1,48592,47.247546,-1.512972
1,48601,47.247546,-1.512972
1,48602,47.246163,-1.511407
1,48611,47.246163,-1.511407
1,48612,47.244435,-1.509908
1,48621,47.244435,-1.509908
1,48622,47.241927,-1.508933
1,48631,47.241927,-1.508933
1,48632,47.238554,-1.507503
1,48641,47.238554,-1.507503
1,48642,47.236551,-1.507993
1,48651,47.236551,-1.507993
1,48652,47.235433,-1.504030
1,48661,47.235433,-1.504030
1,48662,47.232226,-1.507357
1,48671,47.232226,-1.507357
1,48672,47.229721,-1.511276
1,48681,47.229721,-1.511276
1,48682,47.227629,-1.515460
1,48691,47.227629,-1.515460
1,48692,47.226627,-1.519742
1,48701,47.226627,-1.519742
1,48702,47.226473,-1.523471
1,48711,47.226473,-1.523471
1,48712,47.227812,-1.525325
1,48721,47.227812,-1.525325
1,48722,47.225373,-1.530439
1,48731,47.225373,-1.530439
1,48732,47.227155,-1.532745
1,48741,47.227155,-1.532745
1,48742,47.225797,-1.536955
1,48751,47.225797,-1.536955
1,48752,47.223580,-1.538561
1,48761,47.223580,-1.538561
1,48762,47.221481,-1.543505
1,48771,47.221481,-1.543505
1,48772,47.219807,-1.545615
1,48781,47.219807,-1.545615
1,48782,47.219254,-1.550459
1,48791,47.219254,-1.550459
1,48792,47.218137,-1.551944
1,48801,47.218137,-1.551944
1,48802,47.217826,-1.554443
1,48811,47.217826,-1.554443
1,48812,47.218147,-1.557084
1,48821,47.218147,-1.557084
1,48822,47.219862,-1.555166
1,48831,47.219862,-1.555166
1,48832,47.221497,-1.555810
1,48841,47.221497,-1.555810
1,48842,47.222820,-1.556986
1,48851,47.222820,-1.556986
1,48852,47.225455,-1.559242
1,48861,47.225455,-1.559242
1,48862,47.227962,-1.561387
1,48871,47.227962,-1.561387
1,48872,47.230873,-1.563784
1,48881,47.230873,-1.563784
1,48882,47.232621,-1.565243
1,48891,47.232621,-1.565243
1,48892,47.235797,-1.567891
1,48901,47.235797,-1.567891
1,48902,47.237980,-1.569856
1,48911,47.237980,-1.569856
