route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
06A_2,FULLW,06A_2_AM_1,,,,
06A_2,FULLW,06A_2_AM_2,,,,
06A_2,FULLW,06A_2_AM_3,,,,
06A_2,FULLW,06A_2_AM_4,,,,
06A_2,FULLW,06A_2_AM_5,,,,
06A_2,FULLW,06A_2_AM_6,,,,
06A_2,FULLW,06A_2_AM_7,,,,
06A_2,FULLW,06A_2_AM_8,,,,
06A_2,FULLW,06A_2_AM_9,,,,
06A_2,FULLW,06A_2_AM_10,,,,
06A_2,FULLW,06A_2_AM_11,,,,
06A_2,FULLW,06A_2_AM_12,,,,
06A_2,FULLW,06A_2_AM_13,,,,
06A_2,FULLW,06A_2_AM_14,,,,
06A_2,FULLW,06A_2_AM_15,,,,
06A_2,FULLW,06A_2_AM_16,,,,
06A_2,FULLW,06A_2_AM_17,,,,
06A_2,FULLW,06A_2_AM_18,,,,
06A_2,FULLW,06A_2_AM_19,,,,
06B_1,FULLW,06B_1_AM_1,,,,
06B_1,FULLW,06B_1_AM_2,,,,
06B_1,FULLW,06B_1_AM_3,,,,
06B_1,FULLW,06B_1_AM_4,,,,
06B_1,FULLW,06B_1_AM_5,,,,
06B_1,FULLW,06B_1_AM_6,,,,
06B_2,FULLW,06B_2_AM_1,,,,
06B_2,FULLW,06B_2_AM_2,,,,
06B_2,FULLW,06B_2_AM_3,,,,
06B_2,FULLW,06B_2_AM_4,,,,
06B_2,FULLW,06B_2_AM_5,,,,
06B_2,FULLW,06B_2_AM_6,,,,
06C_1,FULLW,06C_1_AM_1,,,,
06C_1,FULLW,06C_1_AM_2,,,,
06C_1,FULLW,06C_1_AM_3,,,,
06C_1,FULLW,06C_1_AM_4,,,,
06C_2,FULLW,06C_2_AM_1,,,,
06C_2,FULLW,06C_2_AM_2,,,,
06C_2,FULLW,06C_2_AM_3,,,,
06C_2,FULLW,06C_2_AM_4,,,,
06D_1,FULLW,06D_1_AM_1,,,,
06D_1,FULLW,06D_1_AM_2,,,,
06D_1,FULLW,06D_1_AM_3,,,,
06D_1,FULLW,06D_1_AM_4,,,,
06D_1,FULLW,06D_1_AM_5,,,,
06D_2,FULLW,06D_2_AM_1,,,,
06D_2,FULLW,06D_2_AM_2,,,,
06D_2,FULLW,06D_2_AM_3,,,,
06D_2,FULLW,06D_2_AM_4,,,,
06D_2,FULLW,06D_2_AM_5,,,,
06E_1,FULLW,06E_1_AM_1,,,,
06E_1,FULLW,06E_1_AM_2,,,,
