shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2811136,47.174876,-1.490529,19061
2811136,47.175392,-1.495283,19062
2811136,47.175392,-1.495283,19071
2811136,47.176526,-1.501693,19072
2811136,47.176526,-1.501693,19081
2811136,47.180164,-1.499437,19082
2811136,47.180164,-1.499437,19091
2811136,47.181136,-1.505696,19092
2811136,47.181136,-1.505696,19101
2811136,47.180722,-1.505698,19102
2811136,47.180722,-1.505698,19111
2811136,47.180024,-1.499330,19112
2811136,47.180024,-1.499330,19121
2811136,47.184663,-1.496343,19122
2811136,47.184663,-1.496343,19131
2811136,47.186582,-1.493932,19132
2811136,47.186582,-1.493932,19141
2811136,47.190386,-1.496414,19142
2811136,47.190386,-1.496414,19151
2811136,47.192534,-1.497727,19152
2811136,47.192534,-1.497727,19161
2811136,47.193927,-1.499202,19162
2811136,47.193927,-1.499202,19171
2811136,47.196040,-1.504457,19172
2811136,47.196040,-1.504457,19181
2811136,47.194912,-1.505470,19182
2811136,47.194912,-1.505470,19191
2811136,47.193932,-1.507796,19192
2811136,47.193932,-1.507796,19201
2811136,47.195503,-1.510819,19202
2811136,47.195503,-1.510819,19211
2811136,47.198769,-1.515545,19212
2811136,47.198769,-1.515545,19221
2811136,47.199660,-1.519868,19222
2811136,47.199660,-1.519868,19231
2811136,47.199162,-1.526462,19232
2811136,47.199162,-1.526462,19241
2811136,47.199459,-1.532968,19242
2811136,47.199459,-1.532968,19251
2811136,47.197167,-1.540584,19252
2811136,47.197167,-1.540584,19261
2811136,47.196098,-1.542686,19262
331068,47.184485,-1.562995,19551
331068,47.182371,-1.563397,19552
331068,47.182371,-1.563397,19561
331068,47.179458,-1.567597,19562
331068,47.179458,-1.567597,19571
331068,47.175510,-1.567646,19572
331068,47.175510,-1.567646,19581
331068,47.175096,-1.563565,19582
331068,47.175096,-1.563565,19591
331068,47.172920,-1.563156,19592
331068,47.172920,-1.563156,19601
331068,47.169869,-1.560421,19602
331068,47.169869,-1.560421,19611
331068,47.168032,-1.558759,19612
331068,47.168032,-1.558759,19621
331068,47.166666,-1.554697,19622
331068,47.166666,-1.554697,19631
331068,47.166510,-1.549831,19632
331068,47.166510,-1.549831,19641
331068,47.165785,-1.544928,19642
331068,47.165785,-1.544928,19651
331068,47.165152,-1.542607,19652
331068,47.165152,-1.542607,19661
331068,47.163566,-1.538513,19662
331068,47.163566,-1.538513,19671
331068,47.163644,-1.535543,19672
331171,47.163651,-1.535533,19691
331171,47.164780,-1.536177,19692
331171,47.164780,-1.536177,19701
331171,47.165188,-1.539684,19702
331171,47.165188,-1.539684,19711
331171,47.165354,-1.542484,19712
331171,47.165354,-1.542484,19721
331171,47.165839,-1.545823,19722
331171,47.165839,-1.545823,19731
331171,47.166625,-1.549949,19732
331171,47.166625,-1.549949,19741
331171,47.166969,-1.555672,19742
331171,47.166969,-1.555672,19751
331171,47.168183,-1.558764,19752
331171,47.168183,-1.558764,19761
331171,47.170047,-1.560523,19762
331171,47.170047,-1.560523,19771
331171,47.172875,-1.563032,19772
331171,47.172875,-1.563032,19781
331171,47.175671,-1.563724,19782
331171,47.175671,-1.563724,19791
331171,47.175580,-1.567880,19792
331171,47.175580,-1.567880,19801
331171,47.179219,-1.567621,19802
331171,47.179219,-1.567621,19811
331171,47.182015,-1.563482,19812
331171,47.182015,-1.563482,19821
331171,47.183774,-1.562953,19822
401163,47.206162,-1.613859,19841
401163,47.203053,-1.614715,19842
401163,47.203053,-1.614715,19851
401163,47.198091,-1.615599,19852
401163,47.198091,-1.615599,19861
401163,47.176733,-1.594041,19862
401064,47.176733,-1.594041,19881
401064,47.198081,-1.615443,19882
401064,47.198081,-1.615443,19891
401064,47.203708,-1.614597,19892
401064,47.203708,-1.614597,19901
401064,47.206489,-1.613321,19902
4211104,47.168850,-1.471132,19921
4211104,47.169394,-1.467829,19922
4211104,47.169394,-1.467829,19931
